Timestamp	What is the name of your club?	What day(s) does your club meet?	When does your club meet?	Where does your club meet?	Who is your teacher supervisor(s)?	Primary email address	Please give a brief paragraph description of your club	Link to main image for your club (optional)		Tile image
21/09/2016 09:50:40	F1 in Schools	TBD	Start of Lunch	TBD	Mr. Papoutsis	1chenrya@hdsb.ca	F1 in Schools is an engineering, design, and business competition. Students will form teams to build their own miniature Formula One cars. Teams will also get the chance to race against other teams in the regional and international level. F1 in Schools is a great opportunity for students interested in engineering and design to explore their abilities. It is also a platform for students in interested in business to apply their marketing skills through team promotion as well as sponsorship promotion. The main goal of the club is to keep track and make sure all participating teams are on the same page. All grades are welcome!	https://s-media-cache-ak0.pinimg.com/564x/98/86/d8/9886d8275ea1ad44c19170b642bf36a0.jpg		https://s-media-cache-ak0.pinimg.com/564x/98/86/d8/9886d8275ea1ad44c19170b642bf36a0.jpg
12/09/2016 12:32:31	Fandom Club	Tuesdays	Start of Lunch	Room 135 	Ms. Olmsted	irhsfandomclub@gmail.com	This club is a celebration of fandoms, for anybody who wants to come during lunch and watch different tv shows. All are welcome!  	https://images.bigcartel.com/theme_images/12184495/fan_club_logo.png		https://images.bigcartel.com/theme_images/12184495/fan_club_logo.png
14/09/2016 11:32:12	Global Issues 	Thursdays	Start of Lunch	Room 207	Ms. Brier	1kazitan@hdsb.ca	Our main goal is to raise awareness about current global issues. We do this by connecting with other clubs/organizations, fundraising for and organizing events to maximize the global, as well as community impact of students at IRHS. 	http://www.clipartbest.com/cliparts/RiG/GgB/RiGGgBkBT.png		http://www.clipartbest.com/cliparts/RiG/GgB/RiGGgBkBT.png
13/09/2016 21:16:13	HOSA	Changes according to the annoucments	Start of Lunch	Please stay tuned	Mr. Barr	1kayeest@hdsb.ca	HOSA is a health science focused competition. It provides members with a wide range of different events to choose from such as medical terminology, emergency readiness, and leadership skills. (See the whole list is on the website: www.hosacanada.com)  HOSA is great opportunity for students to learn more about their interested field and get a real world experience by doing a case study. Members will be competing during the two-day annual HOSA spring conference in March in University of Toronto. 	https://pbs.twimg.com/profile_images/583068313720352768/BM5jekgO.png		https://pbs.twimg.com/profile_images/634440332264869888/rNaR0iSw.jpg
12/09/2016 19:15:57	Interact	Tuesdays	Start of Lunch	Room 119	Ms. Patterson	1irfanibr@hdsb.ca	Interact is a Rotary based club that focuses on community service on a local, national and international level, all while having fun! Example events include the International Service Trip, Spaghetti Dinner, and Bake Sales. Come to the meetings if you want to have fun while doing good things for the community! Visit our website at http://irhsinteract.weebly.com/	http://clubrunner.blob.core.windows.net/00000050025/Images/Interact-Logo-jpeg.jpg		http://clubrunner.blob.core.windows.net/00000050025/Images/Interact-Logo-jpeg.jpg
15/09/2016 20:28:13	IRHS Competitive Dance Team	Tuesdays	Start of Lunch	Fitness Center	Ms. Viera, Ms. Smintich	1losiermel@hdsb.ca	This is a competitive dance team/club where we work on flexibiltity, skill and choreography. We plan to compete at 2 competitions this school year as well as do a school performance at the winter concert. This club is a great oppurtunity to learn new dance routines, practice technique, and make new friends! 	http://cliparts.co/cliparts/zTX/ed6/zTXed6Xec.jpg		http://cliparts.co/cliparts/zTX/ed6/zTXed6Xec.jpg
20/09/2016 12:32:04	IRHS Mock Trial Team 	Wednesdays	After School	Room 121 	Alexiis Stephen 	stephenja@hdsb.ca	The Mock Trial team is a competitive team that takes the law to the next level!  Using a criminal case chose by the Ontario Justice and Education Network, team members compete both within Halton and against neighbouring regions for awards and designations.  Mock Trial season begins in April of every school year. 	https://pbs.twimg.com/profile_images/522493079505231872/PoB_RVo9.jpeg		https://pbs.twimg.com/profile_images/522493079505231872/PoB_RVo9.jpeg
12/02/2017 12:41:01	Iroquois Ridge Baseball League	Wednesdays	Start of Lunch	TBA	Mr Pearce	pearced@hdsb.ca	A new and exciting fantasy baseball league using OOTP17.  This club gives you the chance to run a real-life major league team so you call the shots!	https://lh3.googleusercontent.com/qtu7oUzObQDyc2gngxfG37U6x7j4h6OuLeLGVyBGgiKe8UnrDzKd7dqAcC1VFqPw-BeHObpRKr8It-MtqN2A5txFqDdx4FMog4spd1zmtzv7X7xM2oKRrnyRK1CFuOt3aKjW7krZkYhzuUR3ROEMOFdir30i2M4HYc16PaVkwaWBc1fiT3OY6TYs-5M3DAfZP5QZKr6tOYZsQCVeY0rINUNJg598Rp9QD9jUGNZgfJW-mtTlXMcM6beZRnAKEyyIDOUqxwb2vPMGhLy8ij_peCLdjfsLPkwKz23BtZINGn8lB5uqbzUZytYrNxJW9hnV3W9kFa7Q2T0nqOX0H9VqmOS5s0WFae_EIdWHPZBNIW7vb9D-fcIaO7Y-Q7auVIzUMXk5dWHPxifQBOFFYBl1p6aVpO2wWQkbNMmjLLkSvPoKRzqoeMscG1_9yRUd5OPSIrLlfJu74GN3ByZR41omGratRRn0XeQFxclX4bFcVkl2bZmHct8c4oUtstCX9WJ8pvzMzDrN5HwYNGpEUC_tFxkp7xn5M5q0hSdB8y1b0ZJiDrW0cj8SRHAU5lmp9XpSGNaE1LJqtQXDIvgwUlOfyEO4fdKsDBubFRfYw3KKbFDxA6eNAlgg=w800-h600-no		
16/09/2016 12:37:11	Junior Reach (Trivia) Team 	Tuesdays	Start of Lunch	Room 217	Mr. Yull and Ms. Nguyen	yullj@hdsb.ca	This club is all about trivia!  We will practice weekly, and there are a few Halton-wide competitions throughout the year that we will participate in.  It's like jeopardy-- all types of trivia questions are asked!  And we use buzzers!  We welcome all interested grade 9 or 10 students.   	http://dev.reachforthetop.com/wp-content/uploads/RFTT_2015Transparent250pxv2.png		http://dev.reachforthetop.com/wp-content/uploads/RFTT_2015Transparent250pxv2.png
14/09/2016 11:38:49	Lighthouse Christian Club	Mondays	Start of Lunch	Room 304	Ms. Kim	1challiesnic@hdsb.ca	Have tough questions about life, love or God? Maybe you know God already and want to be with others who know Him too. If you answered yes to any of this then Lighthouse is for you! All are welcome!	https://image.freepik.com/free-icon/christian-cross-symbol_318-48696.jpg		https://image.freepik.com/free-icon/christian-cross-symbol_318-48696.jpg
13/09/2016 23:37:45	Manga Club	Mondays	Start of Lunch	Room 222	Mr. Shaft	1gongsun@hdsb.ca	Manga club is for anybody who is interested in Japanese animation or comics! We aim to create a fun and safe space for people to watch anime, read manga, play video games and socialize. This year we plan on organizing anime movie nights, and our annual trip to the Anime North convention in Toronto. 	https://lh3.googleusercontent.com/-1pnvjOt-nhkdiLXPtIIQY4upw60rtRSoGwUR4neHUV0x8OkKqbZhqhf7_e3c0hwFtJSzkhb1J7CqHIgkA4M7gIqcsLWD0ypeoVifHdazK74EZABlqN_2AuOlPPV9azcHDuDd5b1PtaQi6JchjJvJdNdUQCwuG87WVLaxMzNMtlrg-XAaCOOB54zSgJiQquFHa2LFIHZrGF-_e6vsHnWsbhzIL2q1yoVjScajfZKNuceuiTIZm7pL0REcRdyo_qlt9t0SioR6Mm_TpoUHSHrSKe-04NllwI21UCME6Pe_6R3FYNrSVls1gQnCq-4QUSYTnGKcpwth6p--OahIxVb7SG5EX8eKYZmUWBPIFpSaHkkkwHL1n9WSl0LMNRlaYo7ITqZMuVpTPIy-NHHhVu2g9g7OitHx6A61_VcbA9W74BzDPVe24sus5UiRwJ7v7CYZWR72Lu_vkE-vICNLtNVRjRASUKXXVNk0ijDn3mBn1q6FvGcghsnboEQx5L6NiaJ9q02UxWV9iPg89zrk1n4zZ7q-uCXnTeQrXL7zSjnos0s1Wm9ygfTa9FBeE4hdjlLOs4BljXo1NudQPlq_bjB7R5_G7i2Z0p8DnE3g414VJtZp1oA=w960-h786-no		https://lh3.googleusercontent.com/-1pnvjOt-nhkdiLXPtIIQY4upw60rtRSoGwUR4neHUV0x8OkKqbZhqhf7_e3c0hwFtJSzkhb1J7CqHIgkA4M7gIqcsLWD0ypeoVifHdazK74EZABlqN_2AuOlPPV9azcHDuDd5b1PtaQi6JchjJvJdNdUQCwuG87WVLaxMzNMtlrg-XAaCOOB54zSgJiQquFHa2LFIHZrGF-_e6vsHnWsbhzIL2q1yoVjScajfZKNuceuiTIZm7pL0REcRdyo_qlt9t0SioR6Mm_TpoUHSHrSKe-04NllwI21UCME6Pe_6R3FYNrSVls1gQnCq-4QUSYTnGKcpwth6p--OahIxVb7SG5EX8eKYZmUWBPIFpSaHkkkwHL1n9WSl0LMNRlaYo7ITqZMuVpTPIy-NHHhVu2g9g7OitHx6A61_VcbA9W74BzDPVe24sus5UiRwJ7v7CYZWR72Lu_vkE-vICNLtNVRjRASUKXXVNk0ijDn3mBn1q6FvGcghsnboEQx5L6NiaJ9q02UxWV9iPg89zrk1n4zZ7q-uCXnTeQrXL7zSjnos0s1Wm9ygfTa9FBeE4hdjlLOs4BljXo1NudQPlq_bjB7R5_G7i2Z0p8DnE3g414VJtZp1oA=w960-h786-no
12/09/2016 15:02:53	Math Contest Club	Tuesdays, Thursdays	Start of Lunch	Room 309	Mr. Bonanca, Ms. Barsan	1wueri4@hdsb.ca	This club is intended for those who are inspired by and interested in mathematics. We will be registering for all kinds of math contests across the country.	http://read.html5.qq.com/image?src=forum&q=5&r=0&imgflag=7&imageUrl=http://mmbiz.qpic.cn/mmbiz/Z08UWq352tkh0h7w13A8bcOibJltYSAhDPS6UkbmVh9Y3CgB69Be8eXLgHzpdnF8Mia1o4kvicJDicVOiaRPPQ0nxLQ/0?wx_fmt=png		http://p5cdn4static.sharpschool.com/UserFiles/Servers/Server_3119455/Image/Math%20Tree.jpg
13/09/2016 11:47:34	Med Life	Tuesdays	Start of Lunch	Room 225	Ms Klokoff 	1weieli@hdsb.ca	Medlife is an international organisation that helps raise money for low income communities around the world in order to improve their access to Medicine, Education and further development in their communities. We are planning to have a bake sale, raffles, and spread awareness through promotional videos.	http://static.tumblr.com/ae4cde84efda8ec10d8619d8af65a9bd/q08amie/UMWnb1ner/tumblr_static_dp1zx1v0o4oo4o8kcg4g0ckc.jpg		http://markstadt.com/wp-content/uploads/2016/08/Medlife-Logo.jpg
13/09/2016 06:57:25	Model United Nations	Fridays	Start of Lunch	Room 219	Ms. Patterson and Mr. Keunne	1hugab@gdsb.ca	The IRHS Model United Nations is a great way to engage in enriching debate about current global events. Following the procedure of the actual United Nations, Model UN gives students a chance to expand on their public speaking skills as well a be more globally aware. We also organize our yearly Halton Model UN Conference in partnership with St. Ignatius of Loyola Secondary School in Oakville towards the end of March.	http://www.hnmunla.org/wp-content/uploads/un_logo.jpg		http://www.hnmunla.org/wp-content/uploads/un_logo.jpg
14/09/2016 12:07:35	Movie Club	Wednesdays	Start of Lunch	Room 225	Ms. Klokoff	1velizsha@hdsb.ca	We believe that education can be seen through many different manners such as movies and shows. We wanted to give students a chance to relax during break and watch a fun show whilst still learning something new.	http://ftp.tldsb.on.ca/wp-content/uploads/sites/5/2015/04/Movie-Club-logo.png		http://ftp.tldsb.on.ca/wp-content/uploads/sites/5/2015/04/Movie-Club-logo.png
13/09/2016 19:55:46	Ontario Student Leadership Conference	Two meetings after school before the conference on November 12th and weekly after school meetings after the conference (Date TBD)	After School	Staff room	Ms. Patterson	1aroranyl@hdsb.ca	The Ontario Student Leadership Conference is the largest leadership conference in the province and is held at Niagara Falls in November. Students apply to join the team from IRHS attending the conference to build their leadership skills and become leaders who can make an impact on the school community.	http://shamelesslyoptimistic.weebly.com/uploads/2/4/8/4/24849167/7303797_orig.jpg		https://1.bp.blogspot.com/-KFfRcW9RP9Y/VGOBe6T57RI/AAAAAAAAHGc/FVDtxOLHCUk/s1600/oslc.JPG
16/09/2016 22:40:57	Partners in Pink Campaign	Various days throughout fall	Start of Lunch	Library	Mr. Yull	1ellismad@hdsb.ca	The Pink Campaign runs a variety of events, including Pink in the Rink and the annual Pink Football Game, raising money and awareness in support of breast cancer research.	https://lh3.googleusercontent.com/btI_pJGQuE3solUYeCseG6ShdBPJOl0xpA_Q8Zbk-VDdpuZVzZ4IAoWY0Z4Yr21VnpQV3vR0EHnDbjJOTO8AqSbiBKMRvBKx_xF7-Jx5AwcBWkJ8qTdpSdl3dHKJ-N1T3CJmn0nMmYeKTk_QquCeNvjA5zKi5afKRnX-wXC4K8vxcS03ZQerj44CscQTJL41YIpxOBRPx_HnqQnMRY4GrpfrW3syS9GATidKItEgpgx62ORNG0Qrz6gG0UYIF5iaUg1_vzqoMjfedalvFSXMLfEGAap7OXQi_qzn1eUuZE76sIeQvyCvtFQ-3fmOGULHp24Sy1oIUMGPUaHjpyW4anajQRyLW3jLdYKoKEPxQVoktdDa4ihCEYVhYNu8Urg8w78eLyuVCR3FbMllwppFtW6obnrQP8Xu7f0cdKZi9rqN4Mr63RIGQv3r-oowYhgdzvp0aJgPzfy0EAnqHM3faeMeCEJkrujfNbMAb_rkEpklc_G0M-p_C0ayvs1ISq2uEm8v8BCHKQ43-CXLLLOf2cqwfFy1cyMhw8_MYN8xa93hI5BbEkPYZCdyFysYwpy3VDpe6Wfk0Hsn8ZonWWBxWUlTNxR-o-6fzRmabBH03xE7GMTG=w657-h730-no		https://lh3.googleusercontent.com/btI_pJGQuE3solUYeCseG6ShdBPJOl0xpA_Q8Zbk-VDdpuZVzZ4IAoWY0Z4Yr21VnpQV3vR0EHnDbjJOTO8AqSbiBKMRvBKx_xF7-Jx5AwcBWkJ8qTdpSdl3dHKJ-N1T3CJmn0nMmYeKTk_QquCeNvjA5zKi5afKRnX-wXC4K8vxcS03ZQerj44CscQTJL41YIpxOBRPx_HnqQnMRY4GrpfrW3syS9GATidKItEgpgx62ORNG0Qrz6gG0UYIF5iaUg1_vzqoMjfedalvFSXMLfEGAap7OXQi_qzn1eUuZE76sIeQvyCvtFQ-3fmOGULHp24Sy1oIUMGPUaHjpyW4anajQRyLW3jLdYKoKEPxQVoktdDa4ihCEYVhYNu8Urg8w78eLyuVCR3FbMllwppFtW6obnrQP8Xu7f0cdKZi9rqN4Mr63RIGQv3r-oowYhgdzvp0aJgPzfy0EAnqHM3faeMeCEJkrujfNbMAb_rkEpklc_G0M-p_C0ayvs1ISq2uEm8v8BCHKQ43-CXLLLOf2cqwfFy1cyMhw8_MYN8xa93hI5BbEkPYZCdyFysYwpy3VDpe6Wfk0Hsn8ZonWWBxWUlTNxR-o-6fzRmabBH03xE7GMTG=w657-h730-no
14/09/2016 11:32:59	Peer Tutoring	run over email	Appointments set up by students	Appointments set up by students	Ms. Patterson	1vickramasi1@hdsb.ca	Appointments can be booked for your desired course/subject so that we can assign a dedicated tutor to the student to help with their academics and succeed in their courses! Peer tutors also gain volunteer hours and valuable experience. 	http://www.blackburn.gov.uk/PublishingImages/adult%20learning%20tree.png		http://www.blackburn.gov.uk/PublishingImages/adult%20learning%20tree.png
12/09/2016 08:46:12	Ping Pong Club	Wednesdays	After School	Forum	Mr. Brunato	1kassirdan@hdsb.ca	Ping pong club is for all ages and sizes at the Ridge.  Coming to the club can help you reduce stress and increase your focus.  Ping pong is not a very physical sport, it can be very light or hardcore depending on how you play.  Bring your own paddle in if you want.  Join us for an hour in the forum after school on Wednesday's for both non competitive and competitive ping pong. And plus, it is free to join, no need to even write your name down	http://i.imgur.com/WnnNzkY.jpg		http://i.imgur.com/WnnNzkY.jpg
24/09/2016 12:55:25	Q & A	Thursdays, Sometimes twice a week: Thursday and Monday 	Start of Lunch	Room 213	Grieve and O'Connor	grievec@hdsb.ca	Q & A is a safe space for everyone. We plan events to raise awareness for LGBT issues and communities as well as simply offer other members any support they may need. You don't need to be LGBT to come out to this club ;)	https://lh3.googleusercontent.com/IPawuhzDWGWOCCGqS6Aulp8hnp_usor1NNNifVbwrwmb4an_A1KIbbtN-YRzIoeQQxiKi3-c_0F4Og36vM9X8wnJCs5uj17cQu7S=s600		https://lh3.googleusercontent.com/IPawuhzDWGWOCCGqS6Aulp8hnp_usor1NNNifVbwrwmb4an_A1KIbbtN-YRzIoeQQxiKi3-c_0F4Og36vM9X8wnJCs5uj17cQu7S=s600
19/09/2016 11:37:29	Recharge	Tuesdays, biweekly ( tuesday)	Start of Lunch	Room 303	Mr. Merner	faryalbaber@gmail.com	To allow high school students to discuss, cope and work through stressful situation among their both academic and personal life. Week by week.	http://www188.pair.com/next1/electrical_plug_symbol.jpg		http://www188.pair.com/next1/electrical_plug_symbol.jpg
14/09/2016 11:29:13	Ridge Code	Tuesdays	Start of Lunch	Room 228	Mr. Henrich and Ms. Quensnelle	derrekchow@hotmail.com	Ridge Code is a programming club for coders of all skill levels, from beginner to advanced, all are welcome. Laptops are recommended but not required. We teach programming through fun coding activities every lunch.	https://image.freepik.com/free-icon/code-optimization-interface-circular-symbol_318-49738.jpg		https://image.freepik.com/free-icon/code-optimization-interface-circular-symbol_318-49738.jpg
